UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
102313,58,999,"R",431,"R",225
102313,98, 98,"R",9,"A",
102313,99, 99,"R",440,"R",225
102368, 1,  1,"R",1225,"R",965
102368, 4,  4,"R",2,"R",1
102368, 5,  5,"R",2,"R",1
102368, 6,  6,"R",8,"R",1
102368,12, 12,"R",157,"R",125
102368,13, 13,"R",156,"R",93
102368,15, 15,"R",1,"R",1
102368,16, 16,"R",1,"R",0
102368,17, 17,"R",4,"R",2
102368,18, 18,"R",2,"R",0
102368,19, 19,"R",1,"R",1
102368,20, 20,"R",2,"R",0
102368,21, 21,"R",3,"R",1
102368,22, 22,"R",5,"R",4
102368,24, 24,"R",1,"R",0
102368,25, 25,"R",2,"R",1
102368,26, 26,"R",3,"R",1
102368,28, 28,"R",5,"R",2
102368,29, 29,"R",2,"R",1
102368,30, 30,"R",1,"R",1
102368,31, 31,"R",1,"R",0
102368,32, 32,"R",1,"R",0
102368,35, 35,"R",2,"R",1
102368,36, 36,"R",2,"R",1
102368,37, 37,"R",11,"R",3
102368,39, 39,"R",1,"R",1
102368,41, 41,"R",1,"R",1
102368,42, 42,"R",2,"R",0
102368,45, 45,"R",8,"R",0
102368,46, 46,"R",1,"R",0
102368,47, 47,"R",12,"R",8
102368,48, 48,"R",11,"R",4
102368,50, 50,"R",1,"R",0
102368,51, 51,"R",11,"R",2
102368,53, 53,"R",1,"R",0
102368,55, 55,"R",1,"R",1
102368,56, 56,"R",1,"R",0
102368,58,999,"R",1651,"R",1223
102368,90, 90,"R",66,"R",3
102368,99, 99,"R",1717,"R",1226
102377, 1,  1,"R",218,"R",218
102377, 2,  2,"R",1,"R",1
102377, 4,  4,"R",7,"R",7
102377, 5,  5,"R",9,"R",9
102377, 6,  6,"R",42,"R",42
102377, 8,  8,"R",2,"R",2
102377, 9,  9,"R",2,"R",2
102377,10, 10,"R",1,"R",1
102377,11, 11,"R",3,"R",3
102377,12, 12,"R",30,"R",30
102377,13, 13,"R",232,"R",232
102377,15, 15,"R",1,"R",1
102377,17, 17,"R",35,"R",35
102377,18, 18,"R",9,"R",9
102377,19, 19,"R",1,"R",1
102377,20, 20,"R",1,"R",1
